index,glyph_type,sizeA,sizeB,sizeC
2,line,8,14,18
3,polygon,23,15,1
4,polygon,28,16,1
5,polygon,1,31,43
7,line,33,31,23
8,star,16,32,38
9,circle,9,28,47
13,square,54,41,33
14,star,57,38,19
17,line,60,59,49
18,square,37,40,58
19,circle,30,45,69
22,square,51,56,61
23,square,46,55,66
24,circle,85,64,43
27,polygon,77,68,66
28,line,60,75,80
29,polygon,92,76,54
32,line,95,90,84
33,star,100,92,80
34,line,70,86,100
35,square,100,74,56
38,line,19,10,1
39,star,26,16,1
40,polygon,1,21,43
43,star,39,28,17
44,circle,54,35,14
47,polygon,38,40,50
48,star,53,43,31
49,star,25,43,64
52,polygon,41,45,51
53,square,42,49,62
54,circle,75,52,33
57,circle,53,60,64
58,line,67,54,45
59,polygon,38,57,76
62,square,79,73,68
63,star,79,69,60
64,star,48,64,89
68,circle,84,92,100
69,circle,68,81,100
70,polygon,100,67,58
72,square,15,11,4
73,line,3,15,24
74,square,34,18,1
75,star,1,25,37
77,circle,33,29,22
78,star,41,32,22
79,line,53,32,11
83,star,31,39,49
84,square,23,37,63
87,square,59,52,49
88,polygon,39,44,59
89,line,65,40,27
92,circle,65,59,54
93,star,52,60,73
94,square,81,60,39
98,line,57,68,77
99,polygon,93,66,52
2,line,8,14,18
3,polygon,23,15,1
4,polygon,28,16,1
5,polygon,1,32,43
7,line,33,29,23
8,star,16,29,38
9,circle,9,32,47
13,square,54,43,33
14,star,57,45,19
17,line,60,53,49
18,square,37,51,58
19,circle,30,52,69
22,square,51,58,61
23,square,46,58,66
24,circle,85,66,43
27,polygon,77,72,66
28,line,60,69,80
29,polygon,92,77,54
32,line,95,86,84
33,star,100,92,80
34,line,70,90,100
35,square,100,81,56
38,line,19,11,1
39,star,26,15,1
40,polygon,1,10,43
43,star,39,28,17
44,circle,54,38,14
47,polygon,38,45,50
48,star,53,41,31
49,star,25,48,64
52,polygon,41,46,51
53,square,42,51,62
54,circle,75,57,33
57,circle,53,61,64
58,line,67,54,45
59,polygon,38,60,76
62,square,79,73,68
63,star,79,70,60
64,star,48,65,89
68,circle,84,96,100
69,circle,68,90,100
70,polygon,100,80,58
72,square,15,9,4
73,line,3,17,24
74,square,34,16,1
75,star,1,20,37
77,circle,33,30,22
78,star,41,32,22
79,line,53,30,11
83,star,31,41,49
84,square,23,51,63
87,square,59,56,49
88,polygon,39,51,59
89,line,65,41,27
92,circle,65,58,54
93,star,52,60,73
94,square,81,63,39
98,line,57,70,77
99,polygon,93,74,52
2,star,95,73,58
3,star,48,69,98
5,circle,17,35,49
8,square,56,68,84
10,square,87,74,65
11,line,1,28,39
15,circle,58,39,24
19,star,8,12,18
21,star,49,34,4
22,star,78,82,94
24,circle,77,52,32
26,line,72,69,56
28,line,90,76,74
31,circle,49,36,15
36,circle,44,34,15
40,polygon,27,44,57
42,polygon,40,56,77
45,polygon,4,27,37
47,circle,55,60,71
49,polygon,30,55,79
50,polygon,79,75,60
52,circle,97,70,56
53,star,55,64,68
57,polygon,25,12,5
59,line,94,84,77
61,line,57,46,26
62,circle,28,18,8
63,polygon,67,60,77
64,line,40,51,61
66,square,69,79,88
69,star,65,79,94
70,polygon,21,50,71
72,polygon,39,55,85
73,polygon,42,49,61
75,polygon,36,53,68
76,star,43,30,4
78,star,54,65,72
81,square,14,38,52
82,line,71,52,42
84,circle,38,56,73
86,star,55,42,9
87,star,56,52,46
89,polygon,48,39,6
90,square,65,49,34
91,circle,29,42,59
92,square,88,74,61
94,circle,63,45,29
96,circle,20,32,58
97,line,45,41,29
98,line,13,6,1
99,circle,15,30,40
100,square,41,36,31
1,polygon,30,31,46
2,star,69,85,94
3,polygon,37,19,21
4,square,31,46,60
6,star,59,73,86
8,polygon,45,33,28
12,star,51,32,17
13,circle,98,93,82
14,square,18,23,38
17,star,65,58,47
19,circle,88,72,51
22,line,91,77,54
23,line,29,22,14
24,circle,61,68,71
30,square,40,33,26
31,star,63,48,35
32,line,43,34,20
33,polygon,76,64,53
34,polygon,49,40,28
35,polygon,72,51,24
39,line,50,53,66
40,circle,6,32,51
42,star,71,50,37
43,square,37,31,19
44,star,82,62,43
47,line,35,46,53
49,line,39,29,14
50,star,78,53,38
52,circle,40,27,12
54,polygon,93,69,54
55,circle,96,88,78
56,star,48,67,98
58,circle,38,47,59
60,line,6,18,40
61,star,82,86,96
62,star,53,57,64
63,line,67,82,96
64,polygon,61,32,13
66,square,21,40,59
71,polygon,7,14,23
74,star,47,54,67
75,square,18,35,54
77,line,23,36,45
79,square,44,48,54
80,line,17,35,60
82,circle,66,75,93
83,line,64,73,85
84,star,38,46,60
85,polygon,69,37,21
87,polygon,67,56,43
88,line,4,29,50
89,line,90,92,100
91,polygon,90,73,66
92,line,99,93,87
94,polygon,92,73,63
95,circle,70,79,92
97,square,87,83,76
98,star,14,41,56
99,polygon,42,25,11
100,star,48,28,6
1,line,26,44,71
2,line,47,61,80
4,circle,24,34,56
7,circle,76,80,90
9,square,13,8,2
10,square,41,30,17
11,star,31,42,49
12,circle,59,46,34
17,square,17,36,62
19,polygon,52,34,17
20,line,32,23,11
21,polygon,45,65,91
23,polygon,63,79,96
24,polygon,82,63,46
25,polygon,45,61,80
26,line,7,30,40
28,circle,18,35,56
30,star,77,58,31
32,line,42,55,87
33,circle,40,33,28
34,line,1,9,17
35,polygon,35,43,50
36,polygon,21,26,38
37,square,48,36,28
38,polygon,50,66,85
42,circle,19,34,52
44,line,30,23,17
45,line,35,20,2
46,circle,65,36,17
47,square,46,52,74
49,circle,86,68,62
51,circle,41,50,74
52,square,30,36,49
53,line,71,77,84
54,polygon,63,63,76
55,polygon,64,85,96
56,star,51,63,70
57,star,30,46,63
58,polygon,65,57,25
62,star,25,15,1
63,polygon,79,71,69
64,star,11,25,36
65,square,28,36,50
66,circle,30,47,67
67,circle,23,29,37
68,polygon,71,81,97
69,star,16,52,61
71,polygon,52,45,18
74,polygon,86,70,54
75,circle,80,82,91
76,polygon,55,56,67
77,star,22,16,4
78,circle,48,25,2
82,line,25,49,70
83,square,64,50,46
84,circle,95,83,77
85,line,49,59,80
86,star,36,24,1
88,circle,38,30,26
91,square,14,20,25
92,line,43,51,82
93,star,36,42,49
94,star,83,63,51
95,polygon,9,27,41
96,star,25,19,12
97,square,37,23,10
98,square,43,29,9
99,star,56,34,10
100,circle,70,74,90
1,tree_growth,28,50,70
2,sun,83,76,65
3,tree_growth,65,46,27
4,sun,39,71,87
5,flower,7,24,33
6,sun,62,75,88
7,sun,77,87,98
8,tree_growth,85,69,40
9,sun,79,69,53
10,flower,6,34,45
11,flower,64,37,22
12,circular_progressbar,4,15,26
13,sun,51,72,86
14,tree_growth,67,50,26
15,sun,4,22,39
16,sun,48,19,5
17,beer,14,22,32
18,tree_growth,8,19,34
19,flower,74,81,92
20,beer,43,32,26
21,tree_growth,63,56,46
22,tree_growth,33,21,2
23,circular_progressbar,61,77,96
24,beer,14,30,55
25,flower,80,66,48
26,circular_progressbar,10,22,33
27,circular_progressbar,31,46,66
28,circular_progressbar,4,14,21
29,flower,49,78,94
30,flower,28,19,9
31,circular_progressbar,54,23,7
32,tree_growth,91,72,48
33,tree_growth,84,69,37
34,beer,5,16,28
35,sun,27,17,15
36,circular_progressbar,71,61,44
37,flower,4,18,22
38,sun,21,34,55
39,circular_progressbar,69,82,100
40,sun,57,70,82
41,circular_progressbar,70,59,49
42,beer,65,54,45
43,circular_progressbar,68,42,29
44,beer,25,42,66
45,tree_growth,34,19,11
46,circular_progressbar,17,32,44
47,beer,87,72,57
48,tree_growth,60,78,99
49,flower,2,25,48
50,flower,40,23,2
51,flower,58,83,95
52,sun,38,56,70
53,tree_growth,59,81,98
54,tree_growth,56,37,23
55,flower,83,70,44
56,beer,67,50,30
57,circular_progressbar,79,88,92
58,beer,50,65,84
59,tree_growth,89,80,74
60,circular_progressbar,51,56,62
61,tree_growth,61,74,88
62,sun,24,39,55
63,tree_growth,48,26,7
64,tree_growth,21,32,39
65,beer,8,19,31
66,flower,73,81,95
67,circular_progressbar,67,37,21
68,sun,48,66,74
69,sun,1,18,35
70,flower,69,53,35
71,sun,79,88,97
72,circular_progressbar,30,47,71
73,tree_growth,69,77,83
74,flower,40,70,87
75,beer,55,47,38
76,beer,67,73,77
77,flower,98,78,58
78,circular_progressbar,95,67,53
79,circular_progressbar,19,11,1
80,sun,12,30,59
81,sun,35,66,80
82,flower,73,64,56
83,beer,29,24,19
85,circular_progressbar,70,40,20
86,tree_growth,44,64,74
87,circular_progressbar,6,14,29
88,beer,78,64,48
89,flower,52,79,92
90,flower,71,57,34
91,beer,2,15,29
92,beer,61,50,42
93,flower,5,20,30
94,beer,80,87,98
95,sun,76,68,58
96,tree_growth,3,19,28
97,beer,74,61,50
98,beer,8,16,25
99,beer,9,18,27
100,circular_progressbar,68,26,20
1,circular_progressbar,85,64,43
2,beer,68,83,98
3,tree_growth,71,67,53
4,tree_growth,54,38,13
5,sun,21,30,36
6,flower,49,66,96
7,tree_growth,27,17,12
8,beer,39,51,59
9,circular_progressbar,50,63,69
10,tree_growth,85,74,55
11,circular_progressbar,55,35,14
12,flower,31,23,11
13,beer,79,85,94
14,circular_progressbar,20,12,5
15,flower,78,70,62
16,sun,47,16,3
17,flower,89,80,67
18,beer,37,30,18
19,tree_growth,18,43,67
20,beer,26,38,58
21,tree_growth,59,49,34
22,sun,40,18,8
23,sun,29,36,52
24,flower,35,19,4
25,flower,34,20,2
26,circular_progressbar,12,24,31
27,circular_progressbar,28,48,71
28,flower,50,70,85
29,sun,12,29,58
30,beer,94,72,59
31,beer,69,56,42
32,beer,70,79,89
33,beer,65,40,15
34,sun,90,83,71
35,sun,20,28,32
36,sun,4,13,18
37,circular_progressbar,68,56,45
38,tree_growth,63,79,96
39,circular_progressbar,64,81,98
40,circular_progressbar,58,66,76
41,flower,30,25,20
42,beer,35,21,1
43,sun,41,27,21
44,flower,9,23,34
45,tree_growth,17,12,6
46,flower,3,20,23
47,circular_progressbar,71,53,40
48,tree_growth,87,79,41
49,tree_growth,1,27,35
50,sun,84,77,68
1,circular_progressbar,15,33,61
2,flower,85,78,71
3,sun,26,12,1
4,circular_progressbar,80,61,31
5,beer,40,48,58
6,flower,70,56,39
7,beer,80,57,37
8,circular_progressbar,66,55,42
9,flower,49,57,60
10,sun,37,16,3
11,sun,74,69,47
12,tree_growth,13,16,31
13,sun,8,17,21
14,beer,2,17,30
15,beer,61,48,40
16,sun,78,68,55
17,tree_growth,46,37,29
18,circular_progressbar,31,25,20
19,flower,36,65,84
20,circular_progressbar,59,43,30
21,sun,63,34,14
22,flower,24,20,7
23,circular_progressbar,1,18,33
24,beer,74,58,50
25,sun,89,76,46
26,flower,72,62,42
27,circular_progressbar,20,16,9
28,tree_growth,58,42,33
29,tree_growth,3,22,32
30,tree_growth,47,70,89
31,circular_progressbar,12,34,58
32,flower,62,76,92
33,beer,55,32,11
34,beer,38,25,11
35,circular_progressbar,5,29,55
36,tree_growth,18,14,2
37,sun,9,21,31
38,tree_growth,7,20,35
39,beer,43,30,14
40,flower,26,44,54
41,flower,87,72,50
42,tree_growth,86,67,49
43,beer,85,58,35
44,sun,31,12,1
45,circular_progressbar,64,56,49
46,flower,2,23,35
47,beer,70,55,31
48,tree_growth,47,31,17
49,sun,32,16,2
50,tree_growth,62,75,92
1,beer,11,31,57
2,circular_progressbar,10,18,33
3,tree_growth,79,66,32
4,flower,82,67,43
5,sun,43,24,13
6,tree_growth,68,77,90
7,circular_progressbar,35,19,5
8,sun,1,16,34
9,beer,40,30,17
10,sun,35,18,9
11,beer,45,16,1
12,beer,85,90,97
13,beer,10,26,42
14,flower,11,20,33
15,circular_progressbar,69,48,30
16,circular_progressbar,72,83,93
17,sun,60,67,74
18,flower,42,53,62
19,flower,20,28,38
20,flower,83,74,62
21,flower,72,63,52
22,sun,29,16,9
23,beer,41,56,72
24,tree_growth,5,22,42
25,flower,90,64,44
26,sun,65,45,30
27,sun,87,79,57
28,circular_progressbar,4,13,22
29,tree_growth,83,78,51
30,sun,43,15,1
31,circular_progressbar,94,82,64
32,beer,42,25,10
33,tree_growth,11,21,37
34,flower,35,49,62
35,flower,10,19,27
36,beer,31,41,60
37,tree_growth,1,19,35
38,circular_progressbar,63,38,16
39,circular_progressbar,1,13,35
40,sun,37,42,53
41,flower,78,85,100
42,circular_progressbar,2,15,33
43,sun,33,42,54
44,tree_growth,98,79,62
45,tree_growth,100,82,58
46,tree_growth,56,79,93
47,tree_growth,32,45,60
48,beer,12,29,57
49,circular_progressbar,48,57,67
50,beer,77,58,37
1,tree_growth,34,22,4
2,sun,42,20,5
3,beer,31,25,20
4,sun,39,49,62
5,circular_progressbar,48,72,92
6,sun,59,82,94
7,flower,27,19,4
8,circular_progressbar,81,57,38
9,tree_growth,30,68,80
10,beer,32,46,55
11,flower,76,83,94
12,circular_progressbar,95,88,84
13,tree_growth,66,75,78
14,sun,46,16,2
15,tree_growth,79,75,59
16,beer,75,55,33
17,flower,72,57,39
18,beer,87,62,40
19,beer,4,16,24
20,circular_progressbar,38,43,56
21,flower,69,52,22
22,tree_growth,40,18,6
23,flower,77,69,62
24,circular_progressbar,65,75,87
25,circular_progressbar,57,60,67
26,beer,11,36,59
27,beer,42,50,63
28,beer,29,60,79
29,flower,3,21,33
30,flower,68,46,31
31,flower,24,15,2
32,sun,66,82,96
33,sun,53,60,68
34,tree_growth,2,16,29
35,tree_growth,36,70,77
36,circular_progressbar,39,61,83
37,sun,56,78,89
38,tree_growth,61,50,34
39,sun,53,66,75
40,tree_growth,7,29,46
41,circular_progressbar,33,28,22
42,tree_growth,55,77,82
43,circular_progressbar,46,52,58
44,beer,13,35,51
45,flower,58,50,41
46,flower,33,22,2
47,beer,29,53,73
48,circular_progressbar,74,61,45
50,sun,93,80,55
1,flower,66,51,39
2,sun,80,85,90
3,flower,24,16,10
4,sun,39,69,78
5,circular_progressbar,21,34,47
6,flower,56,40,22
7,beer,29,17,4
8,circular_progressbar,71,64,58
9,sun,91,78,44
10,circular_progressbar,1,15,26
11,sun,73,48,30
12,beer,29,48,62
13,flower,53,59,64
14,sun,3,19,30
15,tree_growth,32,56,60
16,sun,61,83,92
17,circular_progressbar,66,57,52
18,beer,68,56,40
19,tree_growth,56,47,10
20,sun,22,33,52
21,tree_growth,41,62,90
22,flower,86,64,42
23,flower,10,25,33
24,tree_growth,59,44,11
25,tree_growth,7,30,38
26,flower,28,22,18
27,beer,16,38,47
28,beer,18,13,5
29,tree_growth,48,70,96
30,tree_growth,26,18,14
31,beer,17,45,65
32,sun,82,74,53
33,tree_growth,5,17,28
34,sun,31,51,64
35,beer,100,84,55
36,circular_progressbar,84,67,47
37,circular_progressbar,98,86,65
38,circular_progressbar,74,56,45
39,beer,50,31,8
40,flower,26,31,37
41,circular_progressbar,62,39,15
42,flower,42,29,20
43,tree_growth,58,80,92
44,circular_progressbar,77,88,95
45,sun,31,18,3
46,beer,56,74,84
47,beer,85,78,66
48,circular_progressbar,48,75,93
49,tree_growth,47,72,93
50,flower,36,66,83
1,polygon,64,71,92
2,line,17,10,2
3,square,5,26,52
4,star,38,20,2
5,star,17,11,4
6,line,42,59,85
7,polygon,57,32,9
8,circle,100,77,58
9,square,13,38,56
10,star,61,68,80
11,circle,56,50,44
12,polygon,8,44,56
13,line,31,22,10
14,square,5,24,47
15,star,87,82,71
16,square,10,28,51
17,polygon,6,15,23
18,circle,63,45,36
19,square,85,63,40
20,polygon,38,41,50
21,polygon,70,74,80
22,circle,50,62,74
23,star,79,58,33
24,line,87,72,62
25,star,3,18,30
26,line,46,37,22
27,line,74,71,58
28,star,83,55,38
29,circle,88,71,60
30,line,51,68,75
31,line,62,73,95
32,circle,86,66,49
33,star,57,53,47
34,line,52,59,68
35,line,82,88,99
36,square,30,19,7
37,circle,59,45,32
38,polygon,89,66,44
39,polygon,28,38,52
40,square,99,74,51
41,square,19,36,53
42,star,86,88,96
43,circle,3,17,28
44,star,32,38,46
45,square,44,59,79
46,square,37,61,87
47,polygon,22,34,47
48,circle,15,32,58
49,polygon,16,28,40
50,circle,46,23,1
1,beer,32,15,1
2,tree_growth,93,72,56
3,tree_growth,66,62,55
4,circular_progressbar,6,15,28
5,sun,77,72,65
6,sun,4,10,20
7,circular_progressbar,8,22,44
8,sun,97,83,62
9,beer,28,19,14
10,circular_progressbar,23,42,65
11,beer,71,55,46
13,beer,4,11,22
14,tree_growth,4,29,48
15,tree_growth,70,66,23
16,sun,32,20,9
17,flower,27,34,44
18,sun,31,52,79
19,beer,55,63,88
20,sun,86,92,100
21,beer,85,74,66
22,tree_growth,46,38,32
23,sun,68,61,41
24,beer,52,37,29
25,beer,30,9,1
26,circular_progressbar,78,64,50
27,flower,8,30,46
28,tree_growth,65,45,19
29,sun,3,19,46
30,circular_progressbar,33,16,1
31,sun,11,18,26
32,flower,54,76,90
33,beer,33,11,1
34,flower,31,15,1
35,flower,95,68,47
36,sun,43,51,60
37,flower,26,12,2
38,flower,36,30,25
39,circular_progressbar,46,71,95
40,flower,30,26,19
41,circular_progressbar,64,41,17
42,flower,64,79,92
43,flower,15,32,49
44,circular_progressbar,4,11,20
45,circular_progressbar,2,26,51
46,tree_growth,20,46,59
47,tree_growth,32,17,2
48,circular_progressbar,76,68,61
49,tree_growth,3,15,22
50,tree_growth,61,76,91
1,tree_growth_gamma,16,21,26
2,tree_growth_gamma,85,78,70
3,tree_growth_gamma,58,53,44
4,tree_growth_gamma,4,8,17
5,tree_growth_gamma,1,3,5
6,tree_growth_gamma,99,92,84
7,tree_growth_gamma,45,40,34
8,tree_growth_gamma,11,16,25
9,tree_growth_gamma,49,66,97
10,tree_growth_gamma,40,25,16
11,tree_growth_gamma,31,34,42
12,tree_growth_gamma,47,35,19
13,tree_growth_gamma,39,20,10
14,tree_growth_gamma,73,56,23
15,tree_growth_gamma,93,87,82
16,tree_growth_gamma,1,5,10
17,tree_growth_gamma,46,30,23
18,tree_growth_gamma,41,54,58
19,tree_growth_gamma,47,34,16
20,tree_growth_gamma,92,87,77
21,tree_growth_gamma,84,77,98
